,model,cv_method,basic_accuracy,accuracy_mean,accuracy_std,parameters,datasetname
9,GradientBoosting_Classification,kfold,0.990909090909091,0.9554045037531276,0.02170878406220813,None,df_train_pt
10,XGBoost_Classification,kfold,0.990909090909091,0.9481067556296916,0.029126553443563404,None,df_train_pt
11,LightGBM_Classification,kfold,0.990909090909091,0.9508423686405338,0.022779303977370675,None,df_train_pt
0,KNeighbors_Classifier,repeatedkfold,1.0,0.9447556296914097,0.021850533118151643,None,df_train_pt
1,Decision_Tree,repeatedkfold,0.9818181818181818,0.9238306922435362,0.024696650976877982,None,df_train_pt
2,Random_Forest,repeatedkfold,0.9818181818181818,0.9493060884070057,0.01955551031933155,None,df_train_pt
3,AdaBoost_Classifier,repeatedkfold,1.0,0.9461226021684739,0.021243530680968965,None,df_train_pt
4,SVC_Classifier,repeatedkfold,0.990909090909091,0.9473052543786489,0.021607286768342723,None,df_train_pt
5,SGD_Classifier,repeatedkfold,0.9818181818181818,0.9306497080900753,0.028602361366759175,None,df_train_pt
6,Ridge_Classification,repeatedkfold,0.990909090909091,0.9437581317764803,0.021463590440644005,None,df_train_pt
7,Logistic_Regression,repeatedkfold,0.990909090909091,0.9453969974979148,0.01893563880921249,None,df_train_pt
8,LinearSVC,repeatedkfold,0.990909090909091,0.9447556296914095,0.020028443096637732,None,df_train_pt
9,GradientBoosting_Classification,repeatedkfold,0.990909090909091,0.9524070058381985,0.019685368039802274,None,df_train_pt
10,XGBoost_Classification,repeatedkfold,0.990909090909091,0.9488523769808174,0.020242277570257684,None,df_train_pt
11,LightGBM_Classification,repeatedkfold,0.990909090909091,0.9497639699749791,0.020092039320055228,None,df_train_pt
0,KNeighbors_Classifier,stratifiedkfold,0.9727272727272728,0.9444620517097582,0.018095972669665433,None,df_train_pt
1,Decision_Tree,stratifiedkfold,0.9545454545454546,0.924462051709758,0.018723631977401095,None,df_train_pt
2,Random_Forest,stratifiedkfold,0.9727272727272728,0.9508423686405338,0.013106839881410235,None,df_train_pt
3,AdaBoost_Classifier,stratifiedkfold,0.9727272727272728,0.9472143452877398,0.013409580961503539,None,df_train_pt
4,SVC_Classifier,stratifiedkfold,0.9636363636363636,0.9481067556296916,0.016426920551537924,None,df_train_pt
5,SGD_Classifier,stratifiedkfold,0.9545454545454546,0.9335779816513762,0.01221879723107816,None,df_train_pt
6,Ridge_Classification,stratifiedkfold,0.9727272727272728,0.9426438698915762,0.018359692241273633,None,df_train_pt
7,Logistic_Regression,stratifiedkfold,0.9545454545454546,0.9444787322768974,0.008711988111445473,None,df_train_pt
8,LinearSVC,stratifiedkfold,0.9545454545454546,0.9426438698915762,0.013722899424530173,None,df_train_pt
9,GradientBoosting_Classification,stratifiedkfold,0.9818181818181818,0.9572143452877399,0.014770734034146566,None,df_train_pt
10,XGBoost_Classification,stratifiedkfold,0.9636363636363636,0.9499416180150126,0.011746767573395666,None,df_train_pt
11,LightGBM_Classification,stratifiedkfold,0.9727272727272728,0.9508340283569643,0.01548142882657653,None,df_train_pt
0,KNeighbors_Classifier,shufflesplit,0.9672727272727273,0.9512727272727272,0.007125788342641994,None,df_train_pt
1,Decision_Tree,shufflesplit,0.9454545454545454,0.9265454545454546,0.011590819964006719,None,df_train_pt
2,Random_Forest,shufflesplit,0.9636363636363636,0.9559999999999998,0.009119953602897773,None,df_train_pt
3,AdaBoost_Classifier,shufflesplit,0.9709090909090909,0.9556363636363635,0.010259444348847917,None,df_train_pt
4,SVC_Classifier,shufflesplit,0.9709090909090909,0.9538181818181819,0.009764161150616398,None,df_train_pt
5,SGD_Classifier,shufflesplit,0.9563636363636364,0.9378181818181819,0.012000000000000012,None,df_train_pt
6,Ridge_Classification,shufflesplit,0.9672727272727273,0.9498181818181818,0.011590819964006719,None,df_train_pt
7,Logistic_Regression,shufflesplit,0.9636363636363636,0.9494545454545454,0.008674080321364777,None,df_train_pt
8,LinearSVC,shufflesplit,0.9636363636363636,0.9469090909090909,0.010051109062607477,None,df_train_pt
9,GradientBoosting_Classification,shufflesplit,0.9672727272727273,0.9585454545454546,0.007662293638438358,None,df_train_pt
10,XGBoost_Classification,shufflesplit,0.9745454545454545,0.9527272727272728,0.010024762728792868,None,df_train_pt
11,LightGBM_Classification,shufflesplit,0.9672727272727273,0.954909090909091,0.00654545454545455,None,df_train_pt
